followup1;other1;language;length;how_natural;rating_list;merged_ratings;text;number_of_reasons;max_workers;mean_rating;std_dev
6,9,6,9,10,5,9,10,,5,9,5,6,9,,5,6;"








";zh;8;1, 2, 3, 2, 3, 4, 1, 1, 4, 2;2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 4;1, 2, 3, 2, 3, 4, 1, 1, 4, 2,2, 2, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 4;Guests have from two sports and entertainment world .;17;4;1.95833333333333 2.5;1.04170289792063 1.73205080756888
7,,,,,9,9,,,5,9,,9,,,,,,,,;"


















";en;14;3, 4, 4, 4, 4, 3, 3, 4, 4, 1, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;3, 4, 4, 4, 4, 3, 3, 4, 4, 1, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3;In 2003 , Willis Broadcasting Corp. sold the station to Starboard Broadcasting for $ 1.5 million .;20;2;3.77777777777778 4;0.590936840285279 0
5,9,,,,,,,,5,,,,11,5,5,8,5,7,,5,10;"











too complex words






";es;15;2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 1, 2, 3, 3, 4, 3, 3;4, 4, 2, 3, 3, 2, 4, 4, 4, 3, 4, 4, 1, 2, 1, 4;2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 2, 1, 2, 3, 3, 4, 3, 3,4, 4, 2, 3, 3, 2, 4, 4, 4, 3, 4, 4, 1, 2, 1, 4;It is a totally ordered triclinic modification of potassium feldspar and is dimorphic with orthoclase .;22;2;3.19444444444444 4;1.00908570907231 0
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
