followup1;other1;language;length;max_workers;mop;how_natural;rating_list;merged_ratings;text;number_of_reasons
"5,6,7,9,10
5,7
9
5
9

5,9
5,6
";"







";ja;17;18;MOP4;1, 2, 3, 2, 3, 4, 2, 1, 4;1, 1, 1, 3, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 4, 2;1, 2, 3, 2, 3, 4, 2, 1, 4,1, 1, 1, 3, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 4, 2;It met the mother of Alice , widow Ellen Bailey the ( Dorothy Green ) , Larsen / Kincaid arrived in town .;14
"7
6
5,9,10
5,9
5,6,9,10
5
7
5,9
6
5,7
10
5
5,6
6,7,10
5,9
5
6,9,10
5,6,9
5,7,10
";"


















";zh;17;16;MOP4;3, 1, 2, 3, 1, 1, 3, 1, 2, 1, 2, 2, 2, 1, 2, 2, 3, 2, 1, 4;1, 1, 1, 4, 4, 2, 3, 2, 1, 1, 3, 3, 3, 2, 2, 3;3, 1, 2, 3, 1, 1, 3, 1, 2, 1, 2, 2, 2, 1, 2, 2, 3, 2, 1, 4,1, 1, 1, 4, 4, 2, 3, 2, 1, 1, 3, 3, 3, 2, 2, 3;It seems , just Maler 's young and promising career started as soon as possible , it was all over .;37
"5,9
6
5,9
7
5
7,9
9,10
8,9
7
5
5,6,8
11
8
10

11
5
5,11
5
";"










Not understanding the concept well, I thought that perhaps ""cooking"" may not have been the appropriate word for this sentence.



It doesn't make sense

it doesn't make sense

";zh;17;16;MOP4;3, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 4, 2, 2, 2, 1, 4;1, 3, 2, 2, 1, 1, 3, 3, 4, 1, 4, 3, 1, 3, 3, 2;3, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 4, 2, 2, 2, 1, 4,1, 3, 2, 2, 1, 1, 3, 3, 4, 1, 4, 3, 1, 3, 3, 2;It was released in March 2014 by cooking ethylene razor and tie in North America and Europe.;26
"10
5
5,6,7
9
5
9


9

7,8
5
11
5
5
9
5,7,8
";"











I dont understand the subject matter well enough to be able to comment




";en;11;14;MOP4;3, 1, 2, 2, 2, 3, 4, 4, 2, 4, 2, 2, 3, 2, 2, 3, 1, 4;2, 2, 1, 1, 2, 1, 4, 1, 2, 3, 2, 1, 1, 4;3, 1, 2, 2, 2, 3, 4, 4, 2, 4, 2, 2, 3, 2, 2, 3, 1, 4,2, 2, 1, 1, 2, 1, 4, 1, 2, 3, 2, 1, 1, 4;Its capitula is in diameter and is globose and quite ovate .;19
"

5,6,10
6
5,9,10
10
10

7
9,10
11

7,9,10
10
6
5,6,10
9
5,6,9
5
5,6";"









extra commas








";zh;9;14;MOP4;4, 4, 2, 2, 3, 3, 3, 4, 3, 2, 3, 4, 2, 3, 2, 1, 2, 1, 2, 3;2, 1, 3, 1, 1, 4, 4, 2, 3, 4, 2, 3, 2, 3;4, 4, 2, 2, 3, 3, 3, 4, 3, 2, 3, 4, 2, 3, 2, 1, 2, 1, 2, 3,2, 1, 3, 1, 1, 4, 4, 2, 3, 4, 2, 3, 2, 3;Its existence , however , defended Oswald Garrison Villard , who states:;28
"9
10



7


5,6
9
5
9
5,9
9,10


9

9
5,6,10";"


















";ja;15;14;MOP4;2, 3, 4, 4, 4, 2, 4, 4, 3, 2, 2, 2, 2, 3, 4, 4, 3, 4, 2, 1;4, 4, 3, 3, 4, 3, 3, 1, 1, 3, 1, 3, 3, 3;2, 3, 4, 4, 4, 2, 4, 4, 3, 2, 2, 2, 2, 3, 4, 4, 3, 4, 2, 1,4, 4, 3, 3, 4, 3, 3, 1, 1, 3, 1, 3, 3, 3;James McFarlane ( September 2, 1844 - November 24, 1914 ) was a politician of Australia Scottish born .;17
"7

8,9
9

10

10


10

10


10



5,10";"


















";no;21;16;MOP4;3, 4, 3, 3, 4, 3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3;3, 4, 3, 3, 4, 3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3;Jason Stewart ( born 1971 ) is an American film -and TV editor best known for his work on independent films and reality TV .;11
"5
9,10
";"

";es;16;17;MOP4;3, 2, 4;2, 4, 2, 2, 4, 1, 3, 4, 2, 4, 1, 2, 1, 3, 2, 3, 2;3, 2, 4,2, 4, 2, 2, 4, 1, 3, 4, 2, 4, 1, 2, 1, 3, 2, 3, 2;Jet Airways plans to attract more passengers subsequently lower rates , which was again followed by SpiceJet .;3
"7

6

9


5
6
6

6
5



6,9
10
5,6
";"


















";zh;12;15;MOP4;3, 4, 2, 4, 3, 4, 4, 3, 3, 3, 4, 3, 2, 4, 4, 4, 3, 3, 3, 4;4, 4, 2, 3, 4, 1, 3, 4, 3, 2, 1, 4, 4, 4, 3;3, 4, 2, 4, 3, 4, 4, 3, 3, 3, 4, 3, 2, 4, 4, 4, 3, 3, 3, 4,4, 4, 2, 3, 4, 1, 3, 4, 3, 2, 1, 4, 4, 4, 3;Jewish agricultural colonies to become a model for global public agricultural work .;13
"
7
5,8,9



5,6,8,9
8

8
11
8
8
5,9
8
5,6
8
7
5,7
5";"









Has words not in Englush








";no;8;15;MOP4;4, 1, 1, 4, 4, 4, 3, 2, 4, 1, 1, 2, 2, 3, 1, 2, 1, 1, 1, 1;1, 1, 1, 1, 2, 3, 1, 4, 2, 2, 4, 3, 2, 4, 3;4, 1, 1, 4, 4, 4, 3, 2, 4, 1, 1, 2, 2, 3, 1, 2, 1, 1, 1, 1,1, 1, 1, 1, 2, 3, 1, 4, 2, 2, 4, 3, 2, 4, 3;Jewish jordbrukskolonierble models for common agricultural efforts worldwide.;23
"
6,9,10
5,9,10
9,11
9,10
6,7
9,10
7,10
6,9,10
5,6,9
6,8,10
9,10

10
5
9,10
9,10
9,10
6,9
";"


the 's at the end















";zh;22;16;MOP4;4, 3, 1, 2, 2, 3, 2, 3, 3, 1, 3, 3, 4, 3, 2, 2, 1, 3, 2, 4;1, 2, 4, 3, 1, 3, 1, 1, 2, 2, 3, 1, 3, 3, 4, 3;4, 3, 1, 2, 2, 3, 2, 3, 3, 1, 3, 3, 4, 3, 2, 2, 1, 3, 2, 4,1, 2, 4, 3, 1, 3, 1, 1, 2, 2, 3, 1, 3, 3, 4, 3;Johnny hates jazz is a British pop rock band currently consists of Clark Datchler ( songwriter , vocals , keyboards) and Mike Nocito ( producer, engineer ) 's .;37
"9
9


6,7,9
5,11
5

5,7,10
5,6
5,6
5
7

9
5
5
5
5
5,7,10";"




doesn't really make sense in the wording













";zh;17;16;MOP4;2, 2, 4, 4, 2, 2, 1, 4, 2, 2, 1, 2, 2, 4, 2, 3, 1, 3, 1, 2;2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1;2, 2, 4, 4, 2, 2, 1, 4, 2, 2, 1, 2, 2, 4, 2, 3, 1, 3, 1, 2,2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1;Klaus repatriated Allied occupation of Germany , UK , Germany in February 1946 and imprisoned May 22, 1946 announced .;25
"7



5,11

6,7

5


5
5
6

5,6
6,7
5

5";"



simply doesn't make sense














";no;11;15;MOP4;3, 4, 4, 4, 2, 4, 3, 4, 3, 4, 4, 2, 3, 2, 4, 2, 2, 2, 4, 2;1, 2, 3, 4, 3, 3, 2, 1, 4, 4, 3, 3, 3, 1, 2;3, 4, 4, 4, 2, 4, 3, 4, 3, 4, 4, 2, 3, 2, 4, 2, 2, 2, 4, 2,1, 2, 3, 4, 3, 3, 2, 1, 4, 4, 3, 3, 3, 1, 2;Kulturhuset is located next to the dental practice of service apartments.;15
"5,6,7,9

7

6
11
5,7,9
5,9,10


6,7,10
5,6,9,10
5,6,7,9,10
5,7,9,10
5,6,9,10
5,6,10
5,6,10
5,6,9,10
5,11
5,9,10
7,9,10
5,6,7,9,10
5,9,10
5
5,10
6,7,9,10
5,7,9,10
5
5,7,9,10
5,6,9
5,7,9,10
5,6,7,9,10
5
5,9,10
7
5,11
5,9,10
5
5
5,7";"




This sentence is completely erroneous and not comprehensible.












Makes absolutely no sense.
















It doesn't make sense



";zh;21;17;MOP4;1, 4, 2, 4, 3, 1, 1, 1, 4, 4, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1;1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2;1, 4, 2, 4, 3, 1, 1, 1, 4, 4, 2, 3, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2;Lansky believes that Siemens and women's clothing from her glamorous kick ass , or maybe until the club's clothing and high heels , the .;101
"5
7
10
10


10
9
9
9,10

9
5
5
10
5

9
9,10
";"


















";zh;13;16;MOP4;3, 3, 3, 2, 4, 4, 1, 3, 3, 2, 4, 2, 3, 3, 3, 1, 4, 3, 3, 4;2, 3, 4, 1, 3, 2, 1, 4, 3, 3, 2, 1, 4, 3, 1, 4;3, 3, 3, 2, 4, 4, 1, 3, 3, 2, 4, 2, 3, 3, 3, 1, 4, 3, 3, 4,2, 3, 4, 1, 3, 2, 1, 4, 3, 3, 2, 1, 4, 3, 1, 4;Larsen / Kincaid reach the town , meeting Alice 's mother , widow Ellen Bailey ( Dorothy Green ) .;17
"6

5,8


8





10





5,9
5
";"


















";en;19;18;MOP4;3, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2, 4;3, 4, 3, 4, 3, 3, 2, 2, 3, 3, 4, 4, 2, 3, 4, 3, 2, 1;3, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 2, 4,3, 4, 3, 4, 3, 3, 2, 2, 3, 3, 4, 4, 2, 3, 4, 3, 2, 1;Making a return in Jungledyret 3 , he has turned over a new leaf and wishes to keep Hugo safe .;8
"7





11
9

5,10
5

5

6

9,11
5
5
";"





doesn't really make sense in the wording









You can steal but kidnap or abduct a person


";zh;13;15;MOP4;3, 4, 4, 4, 4, 4, 3, 2, 4, 2, 1, 4, 2, 4, 1, 4, 2, 3, 3, 4;3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4, 1, 1, 2;3, 4, 4, 4, 4, 4, 3, 2, 4, 2, 1, 4, 2, 4, 1, 4, 2, 3, 3, 4,3, 4, 3, 4, 4, 3, 4, 3, 4, 4, 3, 4, 1, 1, 2;Maldives later stole the head of the island garrison and Funadhoo buried it.;12
"11
6,10

9,10
5,6,10
10
7
5,10
6
9
5
10
5,6
6,7,10
6
5
6
5
5,6
6";"Extra brackets


















";zh;11;17;MOP4;3, 2, 4, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 1, 3, 2, 3, 2, 1, 2;4, 3, 3, 1, 3, 3, 2, 2, 3, 3, 4, 3, 1, 2, 1, 4, 1;3, 2, 4, 3, 2, 2, 3, 2, 3, 2, 2, 2, 2, 1, 3, 2, 3, 2, 1, 2,4, 3, 3, 1, 3, 3, 2, 2, 3, 3, 4, 3, 1, 2, 1, 4, 1;Mianzhu ( ) is Deyang , Sichuan Province, a county-level city in southwest China.;28
"









6








";"


















";no;15;16;MOP4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 2, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 3, 2, 3;Myrtle Beach is served by the Coast RTA and the Pee Dee Regional Transportation Authority .;1
"9




11
8
8


6,8
7,9,10
10
10

6
8
8

9,10";"




The sentence is very misconstrued.













";es;21;14;MOP4;2, 4, 4, 4, 4, 1, 3, 3, 4, 4, 2, 3, 2, 3, 4, 3, 3, 2, 4, 3;2, 3, 1, 3, 4, 3, 2, 1, 2, 1, 1, 2, 2, 4;2, 4, 4, 4, 4, 1, 3, 3, 4, 4, 2, 3, 2, 3, 4, 3, 3, 2, 4, 3,2, 3, 1, 3, 4, 3, 2, 1, 2, 1, 1, 2, 2, 4;No penalties attach to the failure or refusal to recite the pledge oath .The is voluntary and is not sanctioned by default. ;16
"9
9

9
11
9
7
9
5


10
9
9,10

9
9

6,8
10";"



doesn't quite make sense














";es;24;17;MOP4;2, 3, 4, 3, 2, 2, 2, 2, 3, 4, 4, 2, 2, 3, 4, 3, 2, 4, 3, 3;3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 4, 2;2, 3, 4, 3, 2, 2, 2, 2, 3, 4, 4, 2, 2, 3, 4, 3, 2, 4, 3, 3,3, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 3, 4, 2;Once in the study, however , the team did not have a clear direction for the album as there were concepts that are being discussed .;17
"5,9,10
5,9
5
5,9,10
5,6
5,9
5,10
5,6,9
5
9

9,10
9
7,9
5,9,10
5
7
5
5,7
5";"


















";ja;18;17;MOP4;1, 2, 2, 1, 1, 2, 3, 2, 1, 2, 4, 2, 1, 2, 3, 2, 3, 3, 2, 2;1, 2, 3, 1, 2, 3, 1, 2, 1, 2, 2, 2, 2, 1, 1, 4, 2;1, 2, 2, 1, 1, 2, 3, 2, 1, 2, 4, 2, 1, 2, 3, 2, 3, 3, 2, 2,1, 2, 3, 1, 2, 3, 1, 2, 1, 2, 2, 2, 2, 1, 1, 4, 2;Paul Pratt ( May 1, born 1985 ) is a back corner of American football is a free agent now .;34
"8,9
8,9


6

5

5




6
6
11


9
5";"














vote



";ja;10;17;MOP4;3, 3, 4, 4, 3, 4, 2, 4, 3, 4, 4, 4, 4, 2, 3, 2, 4, 4, 3, 2;3, 3, 4, 1, 1, 4, 1, 2, 1, 3, 2, 1, 4, 3, 2, 3, 2;3, 3, 4, 4, 3, 4, 2, 4, 3, 4, 4, 4, 4, 2, 3, 2, 4, 4, 3, 2,3, 3, 4, 1, 1, 4, 1, 2, 1, 3, 2, 1, 4, 3, 2, 3, 2;Percentage of the entire show vote will not be published .;12
"10
6
5,10
11
6
5,6,7,8
8,9
8

8
10
5,6,9
5,6

6,7
5,9

6

5";"


some of the words are wrong.  ""before looking uMabatha"" doesn't sound natural















";no;12;17;MOP4;3, 3, 1, 2, 3, 3, 2, 2, 4, 3, 3, 2, 3, 4, 1, 3, 4, 2, 4, 1;2, 2, 2, 4, 1, 4, 1, 2, 2, 3, 4, 2, 4, 2, 2, 2, 4;3, 3, 1, 2, 3, 3, 2, 2, 4, 3, 3, 2, 3, 4, 1, 3, 4, 2, 4, 1,2, 2, 2, 4, 1, 4, 1, 2, 2, 3, 4, 2, 4, 2, 2, 2, 4;Peter Ustinov said, before looking  uMabatha  , he did not really understand  Macbeth  .;26
"5,6,8,9
5,9
9
8
5,9,10
5
7
9
5
9
6
5,9,10
9,10
5,9
5
9
5
9,10
5,10
5,6,9";"


















";ja;20;17;MOP4;1, 1, 3, 3, 2, 2, 3, 3, 3, 2, 2, 1, 2, 1, 1, 2, 3, 1, 1, 1;2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 1, 1, 3, 4, 2;1, 1, 3, 3, 2, 2, 3, 3, 3, 2, 2, 1, 2, 1, 1, 2, 3, 1, 1, 1,2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 3, 1, 1, 3, 4, 2;Posters before the mistake was discovered by Coca-Cola management has been distributed to shops bottle hotels and thousands of Australia .;34
"5,6
5,6


10



11
5



8
6
8,10
5
7
5,6
7";"







I think the k in khan should be capitalized.  I was unsure if this would fall under punctuation.










";no;11;17;MOP4;1, 1, 4, 4, 1, 4, 4, 4, 3, 2, 4, 4, 4, 3, 3, 3, 1, 3, 1, 3;3, 3, 3, 2, 2, 4, 4, 2, 1, 1, 4, 1, 2, 3, 1, 2, 3;1, 1, 4, 4, 1, 4, 4, 4, 3, 2, 4, 4, 4, 3, 3, 3, 1, 3, 1, 3,3, 3, 3, 2, 2, 4, 4, 2, 1, 1, 4, 1, 2, 3, 1, 2, 3;Qun -Quran or Qun - Qiran ( r.1251 - c.1280 ) was khan of Orda 's Ulus .;16
"7
8,9
9

11

5,7,9
5
5
5,6,8
5,7,9
5

5,9,10
5,6,7,10

5
5,7,8,9
5,8,9
5,8";"



simply doesn't make sense














";zh;18;18;MOP4;3, 2, 2, 4, 1, 4, 1, 1, 3, 2, 1, 1, 4, 2, 1, 4, 1, 1, 1, 1;3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4;3, 2, 2, 4, 1, 4, 1, 1, 3, 2, 1, 1, 4, 2, 1, 4, 1, 1, 1, 1,3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4;Randonneuring bike way , requiring almost covers a long period of time the generous allocation of continuous riding distance.;34
"




10










10


";"


















";es;23;16;MOP4;4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Richard Hargrave Colless (born November 12, 1952 ) is an Australian politician and National Party member of the Legislative Council of New South Wales Australia .;2
"5,10

9
5
9,10

5

5
5



7";"












";ja;10;16;MOP4;1, 4, 3, 3, 2, 4, 3, 4, 2, 3, 4, 4, 4, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3, 2;1, 4, 3, 3, 2, 4, 3, 4, 2, 3, 4, 4, 4, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3, 2;Robert Clark ( March 14, born 1987 ) is an American actor .;10
"

7



10


6


10,11



10


";"











Satiacum did not have his conviction overturned so this is false






";es;15;16;MOP4;4, 4, 2, 4, 4, 4, 3, 4, 4, 3, 4, 4, 1, 4, 4, 4, 3, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 4;4, 4, 2, 4, 4, 4, 3, 4, 4, 3, 4, 4, 1, 4, 4, 4, 3, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 4;Satiacum was convicted , but the Supreme Court of the State of Washington overturned the conviction .;6
"
6
5,6,10
5,6,10
6
6
6
6


5
7


5
6
6


5";"


















";ja;12;15;MOP4;4, 3, 1, 1, 3, 3, 2, 2, 4, 4, 3, 3, 4, 4, 2, 2, 2, 4, 4, 2;3, 3, 3, 4, 3, 3, 3, 2, 4, 2, 3, 3, 2, 2, 1;4, 3, 1, 1, 3, 3, 2, 2, 4, 4, 3, 3, 4, 4, 2, 2, 2, 4, 4, 2,3, 3, 3, 4, 3, 3, 3, 2, 4, 2, 3, 3, 2, 2, 1;Series is based on the novel written by Diana Gabaldon of  Outlander  .;17
"


7,8





9






9

9
9";"


















";no;12;15;MOP4;4, 4, 4, 3, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;4, 4, 4, 3, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 3, 4, 3, 3,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;She was the 2007-08 president of the National Conference of Democratic Mayors .;6
"
5,7
5
5
11
10


5,6
6,9,10
5


5,7
5,6,7

5,10


5";"



Words seem to be in the wrong order.














";ja;21;18;MOP4;4, 3, 2, 1, 2, 3, 4, 4, 2, 1, 2, 4, 4, 2, 2, 4, 2, 4, 4, 1;1, 3, 4, 3, 2, 4, 4, 1, 1, 4, 2, 2, 4, 2, 1, 2, 3, 2;4, 3, 2, 1, 2, 3, 4, 4, 2, 1, 2, 4, 4, 2, 2, 4, 2, 4, 4, 1,1, 3, 4, 3, 2, 4, 4, 1, 1, 4, 2, 2, 4, 2, 1, 2, 3, 2;She was the People's Party for the chair of party democracy and freedom from March 29 1969 until March 15, 1975 .;20
"






9


5,11
10

9




11
9";"









The location of ""sent them to a meeting"" in the sentence seems to imply that the the albums were sent to a meeting.  Either additional information is required or the sentence can be restructured (last part to the beginning) to sound a bit more natural.







had instead of was
";no;21;16;MOP4;4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3, 4, 2, 4, 4, 4, 4, 3, 2;4, 4, 1, 1, 4, 4, 4, 3, 4, 3, 2, 4, 2, 4, 3, 3;4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 2, 3, 4, 2, 4, 4, 4, 4, 3, 2,4, 4, 1, 1, 4, 4, 4, 3, 4, 3, 2, 4, 2, 4, 3, 3;Since she was already finished composing enough material for two albums , she sent them to a meeting to plan her debut.;7
"

6







9








";"


















";ja;10;18;MOP4;4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2;Since then , I've sold 1.36 million copies in the UK .;2
"5

11

11
10










7,9


";"

use of over complex words

Lots of big words that make this sentence difficult to understand.














";en;13;14;MOP4;3, 4, 2, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4;4, 3, 3, 4, 4, 1, 4, 1, 3, 4, 4, 4, 3, 3;3, 4, 2, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4,4, 3, 3, 4, 4, 1, 4, 1, 3, 4, 4, 4, 3, 3;Solemnity does not suit them and fanatical monomanias are unimaginable in this context .;6
"5,7,11


5,9,10
9
7

5,6
5,9,10
10
5,6,9
5,6
9
5,7
9
7
10
5
5,10
5,6,9";"It dooesn't make much sense.


















";es;10;15;MOP4;2, 4, 4, 1, 2, 3, 4, 1, 1, 3, 1, 2, 2, 1, 3, 2, 2, 2, 1, 3;3, 2, 4, 1, 2, 3, 4, 2, 1, 1, 2, 1, 3, 1, 3;2, 4, 4, 1, 2, 3, 4, 1, 1, 3, 1, 2, 2, 1, 3, 2, 2, 2, 1, 3,3, 2, 4, 1, 2, 3, 4, 2, 1, 1, 2, 1, 3, 1, 3;Solemnity monomanias uncongenial and fans are unimaginable in this context.;31
"5,9,10
5,9,10
5,6,9,10
6,9,10
9,10
10
9,10
9,10
6,10
7
8

10
5,9,10
5,9
8

5,9,10
5,10
5,6";"


















";es;24;13;MOP4;1, 1, 1, 2, 2, 2, 1, 3, 2, 3, 2, 4, 3, 2, 1, 3, 4, 2, 3, 2;1, 3, 4, 4, 1, 2, 1, 1, 2, 2, 4, 3, 2;1, 1, 1, 2, 2, 2, 1, 3, 2, 3, 2, 4, 3, 2, 1, 3, 4, 2, 3, 2,1, 3, 4, 4, 1, 2, 1, 1, 2, 2, 4, 3, 2;Sonora () officially Free and Sovereign State of Sonora ( ) is one of 31 states with the Federal District, comprise the 32 federative entities of Mexico .;38
"6,10
6
5,6
6
5,6,10
10
5,6,10
6

5,6,10
5,6

5
10
5
10
6

6
5,6,10";"


















";es;8;15;MOP4;3, 3, 1, 3, 2, 3, 1, 3, 4, 1, 2, 4, 2, 2, 2, 3, 2, 4, 2, 3;3, 4, 4, 1, 4, 4, 3, 1, 4, 2, 2, 1, 4, 3, 3;3, 3, 1, 3, 2, 3, 1, 3, 4, 1, 2, 4, 2, 2, 2, 3, 2, 4, 2, 3,3, 4, 4, 1, 4, 4, 3, 1, 4, 2, 2, 1, 4, 3, 3;South of Shadwell Basin starting from the west :;28
"5
6


5,9,10
6
6
5,9


5
5
5
5,6
11
5,9
6
10

9";"













Incomplete sentence




";en;8;15;MOP4;2, 1, 4, 4, 1, 3, 3, 3, 4, 4, 2, 2, 2, 2, 3, 2, 1, 3, 4, 2;3, 2, 1, 3, 4, 1, 4, 2, 3, 1, 2, 3, 2, 4, 2;2, 1, 4, 4, 1, 3, 3, 3, 4, 4, 2, 2, 2, 2, 3, 2, 1, 3, 4, 2,3, 2, 1, 3, 4, 1, 4, 2, 3, 1, 2, 3, 2, 4, 2;South of Shadwell Basin starting from the west :;20
"5,9,10

9,10
5
9

9,10

6,9
5,10
5,6,9,10
9,10

6,10";"












";no;10;16;MOP4;1, 4, 3, 2, 3, 4, 3, 4, 2, 3, 1, 1, 4, 3;2, 1, 1, 3, 3, 3, 2, 4, 2, 3, 4, 1, 1, 2, 2, 1;1, 4, 3, 2, 3, 4, 3, 4, 2, 3, 1, 1, 4, 3,2, 1, 1, 3, 3, 3, 2, 4, 2, 3, 4, 1, 1, 2, 2, 1;"Spence married in 1958 ; She and her husband, a dentist ,";21
"10
10
5
8,9

9









";"














";en;23;18;MOP4;3, 3, 3, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4;4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;3, 3, 3, 2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4,4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4;Stow Creek dates back to January 19 , 1748 , when it was formed as one of six precincts in the newly created Cumberland County .;6
"9
8,9


6
5
5







9
5,6

11
7
";"
















Lack of context maybe, since starting with the word ""such"" implies something is missing.

";es;16;16;MOP4;2, 3, 4, 4, 3, 3, 1, 4, 4, 4, 4, 4, 4, 4, 3, 2, 4, 3, 3, 4;1, 3, 1, 1, 4, 2, 4, 2, 3, 2, 4, 2, 2, 2, 3, 1;2, 3, 4, 4, 3, 3, 1, 4, 4, 4, 4, 4, 4, 4, 3, 2, 4, 3, 3, 4,1, 3, 1, 1, 4, 2, 4, 2, 3, 2, 4, 2, 2, 2, 3, 1;Such alternative description of QCD physical could provide new methods to calculate many observables more efficiently .;11
9,10;;zh;12;17;MOP4;3;4, 3, 3, 4, 3, 2, 2, 3, 4, 1, 1, 2, 3, 1, 2, 4, 4;3,4, 3, 3, 4, 3, 2, 2, 3, 4, 1, 1, 2, 3, 1, 2, 4, 4;Take also used to support the music track KIDZ from their 2010 album progress .;2
